name,best_avg_dice,best_tumor_dice,best_stroma_dice,best_other_dice,best_avg_iou,last_avg_dice,last_tumor_dice,last_stroma_dice,last_other_dice,last_avg_iou
ae_exp2_masked,0.3556,0.8124,0.2542,0.0000,0.3064,0.3676,0.7990,0.2978,0.0060,0.3170
ae_exp1_baseline,0.3753,0.8496,0.2756,0.0008,0.3308,0.3771,0.8434,0.2822,0.0057,0.3307
ae_exp3_full,0.3742,0.7729,0.2878,0.0620,0.3167,0.3600,0.8066,0.2534,0.0201,0.3160
